x,pdf
0.0,0.0
0.007007007007007008,0.007149828044034393
0.014014014014014016,0.014298581506070095
0.021021021021021023,0.021445186073277406
0.02802802802802803,0.028588567971070206
0.035035035035035036,0.03572765423199181
0.042042042042042045,0.04286137296431786
0.049049049049049054,0.049988653620281986
0.05605605605605606,0.05710842726383044
0.06306306306306307,0.06421962683781185
0.07007007007007007,0.0713211874305086
0.07707707707707709,0.07841204654141672
0.08408408408408409,0.08549114434618117
0.0910910910910911,0.09255742396059449
0.09809809809809811,0.09960983170356623
0.10510510510510512,0.10664731735897194
0.11211211211211213,0.11366883443629047
0.11911911911911913,0.12067334042993906
0.12612612612612614,0.12765979707721628
0.13313313313313316,0.1346271706147632
0.14014014014014015,0.1415744320334549
0.14714714714714716,0.14850055733163342
0.15415415415415418,0.15540452776659508
0.1611611611611612,0.16228533010424667
0.16816816816816818,0.16914195686684355
0.1751751751751752,0.175973406578726
0.1821821821821822,0.18277868400996888
0.1891891891891892,0.18955680041786294
0.19619619619619622,0.1963067737861446
0.20320320320320323,0.20302762906189417
0.21021021021021025,0.2097183983900216
0.21721721721721723,0.21637812134526224
0.22422422422422425,0.22300584516160343
0.23123123123123127,0.22960062495906639
0.23823823823823825,0.23616152396776746
0.24524524524524527,0.24268761374918452
0.2522522522522523,0.24917797441455591
0.2592592592592593,0.25563169484033943
0.2662662662662663,0.2620478728806623
0.27327327327327333,0.2684256155766911
0.2802802802802803,0.27476403936285604
0.2872872872872873,0.28106227026986164
0.2942942942942943,0.28731944412441934
0.30130130130130134,0.2935347067456393
0.30830830830830835,0.2997072141380179
0.31531531531531537,0.30583613268096194
0.3223223223223224,0.31192063931478947
0.32932932932932935,0.31795992172314985
0.33633633633633636,0.3239531785118083
0.3433433433433434,0.329899619383738
0.3503503503503504,0.33579846531047064
0.3573573573573574,0.3416489486996505
0.3643643643643644,0.34745031355874584
0.37137137137137144,0.3532018156548673
0.3783783783783784,0.35890272267064866
0.3853853853853854,0.36455231435614527
0.39239239239239243,0.37014988267670673
0.39939939939939945,0.37569473195678316
0.40640640640640646,0.38118617901962715
0.4134134134134135,0.3866235533228506
0.4204204204204205,0.3920061970898047
0.42742742742742745,0.39733346543674586
0.43443443443443447,0.40260472649575685
0.4414414414414415,0.40781936153339243
0.4484484484484485,0.41297676506502207
0.4554554554554555,0.4180763449648394
0.46246246246246253,0.4231175225715187
0.46946946946946955,0.4280997327894902
0.4764764764764765,0.43302242418581594
0.4834834834834835,0.43788505908264613
0.49049049049049054,0.44268711364523755
0.49749749749749755,0.4474280779655188
0.5045045045045046,0.45210745614118814
0.5115115115115115,0.45672476635033166
0.5185185185185186,0.4612795409215528
0.5255255255255256,0.46577132639960195
0.5325325325325326,0.4701996836065021
0.5395395395395396,0.47456418769816444
0.5465465465465467,0.4788644282164914
0.5535535535535536,0.483100009136965
0.5605605605605606,0.48727054891172245
0.5675675675675677,0.4913756805081211
0.5745745745745746,0.49541505144279524
0.5815815815815817,0.49938832381121334
0.5885885885885886,0.503295174312742
0.5955955955955957,0.5071352942712263
0.6026026026026027,0.5109083896510976
0.6096096096096096,0.5146141810690233
0.6166166166166167,0.5182524038011109
0.6236236236236237,0.5218228077856848
0.6306306306306307,0.5253251576216534
0.6376376376376377,0.5287592325624865
0.6446446446446448,0.5321248265058235
0.6516516516516517,0.5354217479787372
0.6586586586586587,0.5386498201186773
0.6656656656656658,0.5418088806501195
0.6726726726726727,0.5448987818569486
0.6796796796796798,0.547919390550606
0.6866866866866868,0.5508705880340312
0.6936936936936938,0.5537522700614318
0.7007007007007008,0.5565643467939138
0.7077077077077077,0.559306742751011
0.7147147147147148,0.5619793967581479
0.7217217217217218,0.5645822618900753
0.7287287287287288,0.5671153054103206
0.7357357357357358,0.5695785087066914
0.7427427427427429,0.571971867222877
0.7497497497497498,0.5742953903861907
0.7567567567567568,0.5765491015315002
0.7637637637637639,0.57873303782139
0.7707707707707708,0.5808472501626066
0.7777777777777779,0.5828918031188343
0.7847847847847849,0.5848667748198504
0.7917917917917919,0.5867722568671165
0.7987987987987989,0.588608354235851
0.8058058058058059,0.5903751851736451
0.8128128128128129,0.592072881095669
0.8198198198198199,0.5937015864765312
0.826826826826827,0.5952614587388433
0.8338338338338339,0.5967526681385501
0.840840840840841,0.598175397647084
0.847847847847848,0.5995298428304027
0.8548548548548549,0.6008162117249717
0.861861861861862,0.6020347247107531
0.8688688688688689,0.6031856143812624
0.875875875875876,0.6042691254107583
0.882882882882883,0.6052855144186258
0.88988988988989,0.6062350498310229
0.896896896896897,0.6071180117398514
0.903903903903904,0.6079346917591185
0.910910910910911,0.60868539287876
0.917917917917918,0.6093704293159873
0.9249249249249251,0.6099901263642279
0.931931931931932,0.6105448202397292
0.9389389389389391,0.6110348579258931
0.945945945945946,0.6114605970154096
0.952952952952953,0.6118224055502623
0.9599599599599601,0.6121206618596722
0.966966966966967,0.612355754396053
0.9739739739739741,0.6125280815690483
0.9809809809809811,0.6126380515777192
0.9879879879879881,0.6126860822409588
0.9949949949949951,0.612672600826199
1.0020020020020022,0.6125980438764861
1.0090090090090091,0.612462857035995
1.016016016016016,0.6122674948740539
1.023023023023023,0.6120124207077523
1.0300300300300302,0.6116981064232051
1.0370370370370372,0.611325032295542
1.0440440440440442,0.6108936868076977
1.0510510510510511,0.6104045664680743
1.058058058058058,0.6098581756271447
1.0650650650650653,0.6092550262930748
1.0720720720720722,0.6085956379464306
1.0790790790790792,0.6078805373540443
1.0860860860860861,0.6071102583821116
1.0930930930930933,0.6062853418085903
